INDEX;CONC;PREC;TMAX;TMIN;VMIN;DIR;VMAX
03/08/10;0.32;0.0;30.6;15.5;1.1;3;2.5
04/08/10;1.92;0.0;30.8;16.4;2.4;3;5.5
06/08/10;42.60;16.2;27.6;15;1.1;3;2.4
07/08/10;21.14;0.0;29.7;14.4;1.2;6;2.9
08/08/10;1.28;0.0;30.3;14.6;1.4;3;3.1
01/09/10;0;0.0;28.4;8.4;1.1;5;3.4
02/09/10;0.32;0.0;28.7;9;0.9;6;1.8
03/09/10;0;0.0;31.1;11.6;2.2;6;5.9
04/09/10;3.20;0.0;30.2;13;1.3;6;2.8
06/09/10;77.84;0.0;29.5;13.6;1.0;0;2.2
07/09/10;11.85;0.0;28.1;17.5;1.2;3;3.6
01/10/10;0;0.0;18.7;11.9;0.6;3;1.4
02/10/10;0;0.8;24.1;9.7;0.9;1;2.6
03/10/10;0;0.0;23.6;10.4;0.7;1;1.9
04/10/10;8.01;0.0;21.3;11.9;1.2;3;2.6
06/10/10;90.98;0.2;24.7;13.7;0.9;3;2.5
07/10/10;14.42;0.0;26.1;11.3;3.5;5;7.8
01/11/10;0;23.8;19.3;11.1;1.6;6;3.5
02/11/10;0;9.8;20.6;10.2;1.8;5;5.7
03/11/10;0;5.8;18.3;11.2;1.1;1;3.3
04/11/10;1.28;0.8;21.4;8;2.1;6;5.0
06/11/10;108.91;0.0;17.7;7.2;0.6;2;1.4
07/11/10;16.98;0.2;18;8.7;0.7;6;1.9
01/12/10;0;20.2;8.3;5;2.4;0;6.3
02/12/10;0;9.0;12.3;3.5;1.4;3;2.9
03/12/10;0;17.2;10;3.1;1.3;3;3.7
04/12/10;1.28;4.4;8.2;0.4;1.7;3;4.4
06/12/10;51.89;0.6;12.6;3.7;0.7;2;1.7
07/12/10;9.93;3.4;17;11.7;1.2;6;2.7
03/01/11;0;0.0;8.7;1.4;4.2;0;7.5
04/01/11;3.84;0.0;3.5;-3.8;1.2;1;3.7
05/01/11;139.99;0.0;6.2;-2.4;0.7;3;1.7
06/01/11;16.02;0.2;8.5;1.2;0.5;4;1.8
07/01/11;11.53;1.2;13.1;8.6;0.9;1;2.0
08/01/11;5.77;0.0;14.2;7.3;0.9;6;2.0
10/01/11;0.96;0.0;14.4;5.8;0.6;1;1.9
03/02/11;0;0.0;11.2;4.5;4.4;1;7.3
04/02/11;8.65;0.0;18.4;1.9;1.9;1;5.0
