gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
03/07/11;1.6;NE;3.3
04/07/11;1.3;SE;2.7
05/07/11;1.3;E;3.6
06/07/11;1.3;E;3.0
07/07/11;1.2;E;3.2
08/07/11;1.9;NE;4.6
09/07/11;1.4;NE;3.4
10/07/11;1.3;SO;2.6
11/07/11;1.3;NE;3.3
12/07/11;1.2;E;2.7
13/07/11;1.8;E;5.3
14/07/11;2.0;SO;3.9
15/07/11;2.0;O;3.5
16/07/11;1.8;S;3.8
17/07/11;1.9;S;3.9
18/07/11;2.6;S;4.1
19/07/11;1.4;S;2.6
20/07/11;2.4;SO;6.0
21/07/11;1.9;E;4.4
22/07/11;1.8;SE;4.3
23/07/11;1.9;SE;4.4
24/07/11;1.8;S;4.8
25/07/11;1.7;O;4.3
26/07/11;1.6;E;4.5
27/07/11;1.0;SE;2.6
28/07/11;1.5;SE;2.9
29/07/11;1.0;E;2.8
30/07/11;1.7;S;3.8
31/07/11;1.3;SE;3.5
01/08/11;1.3;E;3.7
02/08/11;1.3;E;2.8
03/08/11;1.2;NE;2.8
04/08/11;1.3;NE;2.7
05/08/11;1.4;NE;3.8
06/08/11;1.2;E;2.7
07/08/11;1.5;N;3.3
08/08/11;1.8;S;4.2
09/08/11;2.3;S;6.5
10/08/11;2.9;N;5.4
11/08/11;1.4;E;2.7
12/08/11;1.7;E;4.5
13/08/11;1.4;S;2.9
14/08/11;1.3;E;2.8
15/08/11;1.4;E;3.7
16/08/11;1.4;NE;3.4
17/08/11;1.2;NE;2.7
18/08/11;1.2;E;3.3
19/08/11;1.3;E;3.2
20/08/11;1.2;E;2.7
21/08/11;1.5;SE;3.9
22/08/11;1.2;S;3.2
23/08/11;1.2;SE;2.4
24/08/11;1.2;SE;2.7
25/08/11;1.1;SE;2.8
26/08/11;1.2;NE;4.4
27/08/11;2.3;E;5.6
28/08/11;1.2;E;3.9
29/08/11;1.5;E;3.2
30/08/11;1.4;E;3.0
31/08/11;1.5;E;3.3
01/09/11;1.1;E;2.9
02/09/11;1.1;SE;2.4
03/09/11;1.0;NE;2.2
04/09/11;1.2;NE;4.8
05/09/11;1.2;SE;2.6
06/09/11;1.7;E;4.5
07/09/11;1.4;E;3.9
08/09/11;1.3;SE;2.7
09/09/11;1.1;E;2.3
10/09/11;1.2;NE;2.8
11/09/11;1.1;E;2.3
12/09/11;1.1;E;3.2
13/09/11;1.1;SE;3.0
14/09/11;1.1;E;3.0
15/09/11;1.0;E;2.5
16/09/11;1.0;E;2.4
17/09/11;1.1;NE;2.4
18/09/11;1.4;E;4.6
19/09/11;2.1;SO;6.9
20/09/11;3.2;SE;9.0
21/09/11;2.0;SE;5.6
22/09/11;1.0;E;2.2
23/09/11;2.4;E;6.4
24/09/11;1.2;NE;4.1
25/09/11;1.1;E;5.5
26/09/11;2.3;E;5.4
27/09/11;3.4;NE;6.5
28/09/11;3.1;NE;6.7
29/09/11;3.1;NE;6.8
30/09/11;2.7;NE;5.7
01/10/11;2.4;SO;6.5
02/10/11;1.7;SE;5.3
03/10/11;1.1;E;2.3
04/10/11;0.9;S;2.0
05/10/11;0.8;SE;1.9
06/10/11;1.2;E;3.2
07/10/11;2.5;S;7.2
08/10/11;1.2;NE;2.8
09/10/11;2.4;NE;6.2
10/10/11;0.9;S;1.9
11/10/11;0.8;SE;1.6
